EV YAPIMI TADELLE,5 tane hurma,1 avuç fındık veya ceviz/badem,1 tatlı kaşığı kakao,1 su bardağı yulaf,4 yemek kaşığı su,Kaplamak için bitter çikolata,,,,,Hurmaları yumuşaması için 2 dakika sıcak suda bekletin.Bu sırada fındıkları hafif parçalı kalacak şekilde rondoda çekip kenara alın.Hurma  yulaf kakao ve suyu rondoda iyice çekin.Fındık parçalarını da ekleyip bar şeklini verin.Erittiğiniz çikolatayla kaplayıp yağlı kağıt serili kaba yerleştirin ve 1 saat buzdolabında bekletin.Afiyet olsun! 
HELVA,5/2 yemek kaşığı fıstık ezmesi ,4 yemek kaşığı mısır  unu,1 yemek kaşığı bal,,,,,,,,Malzemelerin hepsini karıştırıp hamur halini aldıktan sonra minik şekiller verip servis edin.Afiyet olsun!
İRMİK TOPLARI,4 yemek kaşığı irmik,3/2 su bardağı süt,1 yemek kaşığı bal ,3/2 yemek kaşığı kakao,,,,,,,Hepsini sütlü irmik tatlısı yapar gibi pişirin.Lapamızı hazırladıktan sonra biraz soğumasını bekleyin.Daha sonra içine 1 silme yemek kaşığı labne peyniri ekleyin. Sonra topçuklar yapıp içine fındık ilave edin ve hindistan cevizini döktüğünüz kaseye batırın.Biraz buzdolabında dinlendirdikten sonra afiyet olsun!
LOKMA,3 adet medine hurması ,3 yemek kaşığı tahin,1 yemek kaşığı kakao,2 yemek kaşığı badem unu/yulaf unu ,,,,,,,Hurmaları 15 dakika sıcak suda bekletin ardından püre haline getirin.Üzerine tahin kakao ve unu ekleyin.Ele yapışmayan bir kıvam elde etmeniz gerekiyor. Hamurumuzdan küçük parçalar alıp açalım  içine fıstık ezmesi koyup kapatalım. Hazırlanan lokmaları biraz buzdolabında dinlendirin.Afiyet olsun!
NARLI LOKUM,Yarım bardak nar suyu ,Yarım bardak su ,4 yemek kaşığı irmik ,2-3 tatlı kaşığı bal,1 çay kaşığı vanilya ,Hindistan Cevizi,,,,,Ayıklanan narı blenderdan geçirip süzün.Küçük bir sos tenceresinde su irmik ve nar suyunu kıvam alana kadar karıştırarak pişirin.Altını kapatınca bal ve vanilyayı ekleyip tekrar karıştırın.Yağlı kağıt üzerine 2-3 cm kalınlığında döküp düzeltin.Yarım saat buzlukta veya 1-2 saat buzdolabında bekletin.Donan karışımı bıçakla kare kare kesin.Hindistan cevizi ile kaplayın.Afiyet olsun!
WAFFLE,1 Yumurta,Yarım su bardağı yulaf unu ,1 çay bardağı süt,1 çay bardağı sıvıyağ,1 paket kabartma tozu,1 tatlı kaşığı bal,İstediğiniz meyve çeşitleri ,,,,Bütün malzemeleri bir kapta karıştırıp tost makinesinde pişirin.Üzerine istenilen çikolata ve meyveleri yerleştirin.Afiyet olsun!
ACILI ÇUBUK,1 yumurta,2 yemek kaşığı zeytinyağı,1 tatlı kaşığı biber salçası,1 yemek kaşığı domates salçası,2 yemek kaşığı sirke,Göz kararı tuz,1 çay kaşığı kabartma tozu,Baharatlar,2 Su bardağı tam buğday unu,,Tüm malzemeleri karıştırın ve güzelce yoğurun.Unu en son yavaş yavaş ekleyin ve ele yapışmayacak kıvama getirin.Hamuru merdane yardımıyla yağlı kağıt arasında açın.Yani hem altında hem üstünde yağlı kağıt olması gerek hamurun.200 derece fırında kızarana kadar pişirin.Afiyet olsun! 
BAGEL ,1 su bardağı yoğurt,2 su bardağı siyez unu,1 çay kaşığı tuz,1 tatlı kaşığı karbonat,1 yumurta,1 tutam çörek otu ,,,,,Tüm malzemeleri karıştırın.Ele yapışmayan bir hamur elde edince tezgaha biraz un dökerek oklava ile açın.İsteğe göre bagel veya pretzel şekli verin.Üzerine yumurta sürün ve süsleme malzemeleri koyun.180 derecelik fırında 25 dakika pişirin.Afiyet olsun!
CİPS,1 adet yufka,1 yemek kaşığı domates salçası,Yarım çay bardağı su,Yarım çay bardağından biraz az zeytinyağı,1 yemek kaşığı mısır unu,1 tatlı kaşığı kekik  kimyon  pulbiber nane tuz,1 diş rendelenmiş sarımsak ,1 soğan ,,,Bütün malzemeleri bir kasede karıştırın. Yufkayı tezgaha serin ve yarısına fırça yardımıyla harçtan sürün. Sonra ikiye katlayın tekrar sürün. Önce kare sonra üçgen şeklinde kesin.Yağlı kağıt serdiğiniz fırın tepsisine hepsini tek tek dizin. Önceden ısıtılmış 160 derece fırında 6 dakika kadar kalsın. Sonrasında fırının ısısını 100 e düşürüp kuruyana kadar bekletin. Ama dikkat edin yanmasın sürekli kontrol etmelisiniz.Afiyet olsun!
ÇİLEKLİ GALETTE,1 yemek kaşığı tereyağı,1 tatlı kaşığı bal,1 su bardağı tam buğday unu,1/2 su bardağı su,6-7 adet çilek,,,,,,Çilek hariç bütün malzemeleri robottan geçirin.Elinize yapışmayacak bir hamur elde edin. Hamuru merdaneyle incecik açıp üzerine çilekleri yerleştirin.180 derece fırında 25-30 dakika pişirin.Afiyet olsun!
ÇITIR KABAK ÇUBUKLARI,2 yumurta,2 adet orta boy kabak,1 su bardağı galeta unu,Dilediğiniz baharatlar,,,,,,,Çırpılmış yumurtanın içine tuz ve dilediğiniz baharatları ekleyin.Kabakları alacalı soyup  dilimleyin.Kabak dilimlerini önce galeta ununa sonra yumurtaya sonra tekrar galeta ununa bulayın.200 derecede alt üst ayarda yaklaşık yarım saat pişirin.Afiyet olsun!
GRİSSİNİ,2 su bardağı tam buğday unu veya yulaf unu,2 yemek kaşığı zeytinyağı, 1 tatlı kaşığı zerdeçal,1 yemek kaşığı çörekotu,1 çay kaşığı tuz,1/2 su bardağı içme suyu,1 yemek kaşığı sirke,,,,Su ve sirke hariç tüm malzemeler karıştırıp harmanlayın.Sirke ve suyu ekleyip iyice yoğurun.Parçalar koparıp oklava yardımıyla açın.200 derecede 20-25 dakika pişirin.Afiyet olsun!
KAKAOLU YULAF,3 kaşık yulaf,1 kaşık kakao,Herhangi bir meyve,1 yemek kaşığı pekmez ,3/4 bardak süt,,,,,,Sütü kakaoyu ve yulafı bir tencerenin içinde kısık ateşte karıştırarak pişirin.Yulaflar sütü emip süt koyulaşmaya başlayınca ocaktan alıp kaseye boşaltın.Üzerini zevkinize göre süsleyip servis edin.Afiyet olsun!
LEZZET TOPLARI,3 adet orta boy kabak ,2 su bardağı haşlanmış nohut ,1 adet yeşil biber ,1 adet kapya biber ,1 su bardağı un,3/2 tatlı kaşığı tuz ,Baharatlar,1diş sarımsak ,1 tutam dereotu,Sıvı yağ,Haşlanmış nohut ve sarımsağı robotta çekin.Yıkanıp rendelenmiş ve fazla suyu iyice sıkılmış kabakları geniş bir kaseye alın.Üzerine çektiğiniz nohut ve sarımsağı ilave edin. Baharatları da ekleyip son olarak ince kıyılmış dereotu incecik doğranmış biberleri ekleyerek yoğurun.Şekil almaya başlayınca daha fazla un ilavesi yapmadan elinizi hafif yağlayarak şekil verin.Streç film yaydığınız bir tabağa dizerek yaklaşık 15 dakika dondurucuda dinlendirin.Kızdırılmış yağda güzelce kızarana kadar kızartın.Kızartma esnasında toplara bir kaç yerden kürdanla delik açın.Böylelikle içleri de harika pişecektir.Afiyet olsun!
TUZLU KITIRLAR,1 su bardağı yulaf unu ,1 yemek kaşığı zeytinyağı,2 yemek kaşığı yoğurt ,2 yemek kaşığı lor,25 gram süzme peynir ,1 tutam ince doğranmış maydanoz,,,,,Yulaf ununun üzerine diğer malzemeleri ekleyin.Süzme peyniri içine ezerek koyun.Kaşık yardımıyla karıştırın ve en son poğaça yoğurur gibi biraz yoğurun.Kıvamı poğaça hamuru gibi yoğun olmuyor.Ama elinize çok yapışırsa yulaf ununu bir tık arttırabilirsiniz.Daha sonra elinizle ince bir şekilde yağlı kağıt üzerinde hamuru açın ve çay bardağıyla şekil verin.Direkt elinizle de şekil verebiliriniz.200 derecelik önceden ısıtılmış fırında 10-15 dakika üzeri hafif kızarana kadar pişirin.Piştikten sonra soğumaya alın.Afiyet olsun!
ÇİKOLATA DOLGULU PANKEK,1 su bardağı tam buğday unu,1 su bardağı süt,2 yumurta,1 adet kare bitter çikolata,1/2 çay kaşığı kabartma tozu veya karbonat ,,,,,,Tüm malzemeleri karıştırın ve tavaya koyarak pişirin.Çikolatası pankek biraz piştikten sonra ekleniyor ve üzerine tekrar pankek karışımı ekleniyor. Sonrasında çevrilerek pişiriyoruz.Afiyet olsun! 
ÇUBUK PATATES,3 adet haşlanmış patates,Yarım çay bardağı süt,2 yemek kaşığı nişasta,1 yemek kaşığı kaşar peyniri,1 yumurta,Baharatlar,,,,,Tüm malzemeleri karıştırıp ezin.Buzdolabı poşetine koyup uzun ince kesin ve tavada arkalı önlü pişirin.Afiyet olsun!
FIRINDA YUMURTA,2 yumurta,100 ml süt,2 silme yemek kaşığı tam buğday unu,2 yemek kaşığı zeytinyağı ,Rendelenmiş dil peyniri,Tuz ve karabiber,,,,,Öncelikle fırını 220 dereceye ayarlayın ve içine boş borcamı atın ki tarif hazırlanırken ısınsın.Borcamın küçük olması önemli harcın kabı yarısına kadar doldurması lazım.Fırın ısınırken yumurta  süt ve zeytinyağını iyice çırpın.İçine yavaş yavaş un ekleyip çırpmaya devam edin  topaklanmaması lazım.Sonrasında fırından alınan borcamın içine fırçayla zeytinyağı sürüp harcı dökün ve hemen fırına verin.15 dakika fırında pişirin.15 dakika sonra peynir rendesini ekleyip 5-10 dakika daha pişirin.Afiyet olsun! 
FİT GÖZLEME,1 büyük çay bardağı tam buğday unu,1/3 büyük çay bardağı ılık su,Yarım çay kaşığı tuz,Herhangi bir peynir çeşidi,1 çay kaşığı tereyağı,,,,,,Tam buğday ununa tuzu ekleyin ve üzerine suyu yavaş yavaş ekleyip yoğurun.Sonra hamuru unladığınız zeminde ince bir şekilde açın. İçine peyniri koyup kenarlarını kapatın.Yağsız tavada arkalı önlü pişirin ve tereyağıyla yağlayın.Afiyet olsun! 
ISPANAKLI KREP,3 adet yumurta,2 su bardağı süt,2 yemek kaşığı zeytinyağı,1 çay kaşığı tuz,2 su bardağı un,10-12 dal ıspanak yaprakları,,,,,Ispanak yapraklarını ufak ufak doğrayın.Yumurta  tuz süt ve yağı karıştırın.Ispanak yapraklarını ekleyip mikserleyin.Unu da azar azar ekleyin ve karışımı mikserleyi  kıvamını ayarlayın.İlk krepte tavayı yağlayınız ve tavaya karışımı ekleyip pişirin.Afiyet olsun!
KAŞARLI POĞAÇA,5/2 su bardağı tam buğday unu ,3 yemek kaşığı yoğurt,2 yemek kaşığı zeytinyağı,1 yumurta+1 yumurta sarısı ,Tuz,Küp küp doğranmış kaşar,1 paket kabartma tozu,,,,Un ve kabartma tozunu bir kaba alın ve ortasına bir çukur açın.Çukurun içine kaşar haricindeki tüm malzemeleri ekleyip yoğurun.Hamuru 10 dakika dinlendirin.Ardından yuvarlak şekil verip içine kaşarları yerleştirin. Üzerine yumurta sarısı sürüp susam çörekotu ekleyebilirsiniz.180 derecelik fırında 20 dakika kadar kontrollü pişirin.Afiyet olsun! 
KIRMIZI MERCİMEK KREBİ,2 adet yumurta,1 su bardağı kırmızı mercimek ,1 çay bardağı süt,3/2 çay kaşığı tuz,,,,,,,Geniş bir kapta mercimeği ılık suda bir gece boyunca bekletin.Suyunu süzün ve mutfak robotuna suyu süzülmüş mercimeği ve diğer malzemeleri ekleyip robottan geçirin.Krep tavasına biraz zeytinyağı ekleyip arkalı önlü pişirin.Afiyet olsun! 
PİŞİ,2 yumurta,1 çay bardağı süt,1 su bardağı süzme peynir,2 su bardağı tam buğday unu,3/2 çay kaşığı karbonat ,,,,,,Önce sıvı malzemeleri karıştın ve peyniri ekleyin.Ardından ölçülü olarak unu ve karbonatı ekleyin.Hamurun kıvamı poğaça hamurundan biraz cıvık olmalı.Ardından hamuru yoğurup merdane yardımıyla açın ve bardakla kesin.Kestiğiniz hamurları hafif yağda kızartın.Afiyet olsun! 
SEBZELİ EKMEK,1 yumurta,2 yemek kaşığı yoğurt,1 adet kapya biber,3 yemek kaşığı kaşar,1 çay kaşığı karbonat ,,,,,,Sebzeleri ince ince doğrayın ve diğer tüm malzemelerle karıştırın.Malzemelere göre tava seçip yağlayın ve  altı üstü kızarana kadar çok kısık ateşte pişirin.Afiyet olsun!
YULAF TOST ,1 yumurta,1 yemek kaşığı yoğurt,3 yemek kaşığı yulaf ezmesi ,Tuz ve baharatlar,,,,,,,Tüm malzemeleri güzeIce karıştırdıktan sonra yağlı kağıt serili tost makinesinde pişirin.Arasında istediğiniz malzemeleri koyabilirsiniz.Afiyet olsun! 
ZEYTİNLİ FİT POĞAÇA,3 su bardağı tam buğday unu,1 çay bardağı yoğurt,3 yemek kaşığı zeytinyağı,2 adet yumurta ,1 paket kabartma tozu,Tuz,1 kase ufak doğranmış zeytin,,,,Zeytin hariç tüm malzemeleri bir kapta iyice yoğurun.Ele yapışmayan bir kıvam elde ettiğinizde yumurta büyüklüğünde parçalar alıp içine ufak ufak doğradığınız zeytinden 2 çay kaşığı koyun.Hamuru kapatıp yuvarlayın. En son üzerine yumurta sarısı ve susam/ çörekotu de ekleyip 180 derecede 25 dakika pişirin.Afiyet olsun!
SAYIN NOHUTLU SALATA,1 adet salatalık,Göz kararı semizotu ,4 yemek kaşığı yoğurt,1 su bardağı haşlanmış nohut,,,,,,,SaIatalığı ve semizotunu yoğurta doğrayın ve tuzla karıştırın.Üzerine haşlanmış nohutları sevdiğiniz baharatlar ve çok az bir salça ile soteleyin.Hepsini karıştırın.Afiyet olsun!
SİYEZ BULGURLU SALATA,1 kupa siyez bulguru, 1 adet havuç,3  yemek kaşığı mısır,4 adet köz kapya biber ,5 adet kornişon turşu ,1 adet limon,Dilediğiniz yeşillikler ,,,,Bulguru suda haşlayın.Daha sonra diğer malzemeleri ve baharatları ekleyip homojen bir biçimde karıştırın.Afiyet olsun!
ÇITIR KARNABAHAR,1 küçük karnabahar,1 fincan zeytinyağı,Baharatlar,,,,,,,,Çiğ karnabaharı istenilen ebatlarda kesin yıkayın ve süzdürün.Kalın buzdolabı poşetinin içine koyun.Üzerine sıvıyağ ve baharatları dökün.Poşetin içinde sallayarak karıştırın.Yağlı kağıt serili tepsiye koyup 200 derecede 20 dakika pişir.
MERCİMEK MANTISI ,2 su bardağı kırmızı mercimek,1 adet orta boy soğan,1 yemek kaşığı domates salçası,1 yemek kaşığı biber salçası,2 yemek kaşığı zeytinyağı,2 yemek kaşığı zeytinyağı,Yarım demet maydanoz,Baharatlar,1 su bardağı sarımsaklı yoğurt ,,Önce mercimeği yıkayıp üzerini geçecek kadar suda haşlayın.Burda önemli bir püf noktası var:mercimek kısık ateşte yavaş yavaş haşlanmalı ve pişince patates ezeceği ile ezilip bir miktar daha pişirilmeli  yoksa cıvık bir kıvamı olur  içine bulgur da koymadığımız için kıvamını tutturamayız. Mercimekler haşlanırken başka bir kapta ince ince doğradığınız soğanları 2 kaşık zeytinyağında kavurun.Daha sonra üzerine salçayı koyup onu da kavurduktan sonra ezdiğiniz mercimeklerle birleştirin.Mercimeği iyice karıştırıp üzerine ince doğradığınız maydanoz ve baharatları ekleyin.Mercimeği soğuttuktan sonra dolapta biraz katılaşması için dinlendirip şekil verin.Son olarak sarımsaklı yoğurtla servis edin.İsterseniz sarımsaklı yoğurt dökmeyip marulla mercimek köftesi olarak tüketebilirsiniz.Afiyet olsun!
ISPANAK KROKET,15-20 adet ıspanak,1 fincan bulgur,1 orta boy patates,1 sap yeşil soğan,Kıyılmış maydanoz,1 yumurta,1 su bardağı süt,Galeta unu,,,Patatesin kabuğunu soyup 8-10 tane kübe ayırın ve sıcak suya atın.Pişme sürelerine göre 10 dakika sonra bulguru ve 5 dakika sonra ıspanakları atıp yumusayinca hepsini suzgecten iyice süzdürün. Maydanoz yesil sogan ince dograyip ekleyin baharat ve tuz da ekleyip yogurun. Eger patates cok haslanmissa 2 kasik un takviyesi gerekebilir..uzun sekil verip once galeta sonra sütlü yumurta sonra tekrar galeta seklinde bulayin dişini ki iyi tutsun. 2000 isinmis firinda  üzerlerini isterseniz fircayla hafif yaglayin daha iyi kizarir 20-25 dk pişirin. 
SUSAMLI TAVUK,4 adet tavuk göğsü,2 diş sarımsak,1 çay kaşığı toz kırmızı biber,1 yemek kaşığı susam,Yarım çay kaşığı tuz,Yarım çay kaşığı köri,Yarım çay kaşığı karabiber,4 yemek kaşığı zeytinyağı,,,Tavuklar küp küp doğranır. Doğranan tavuklar kilitli poşete konulur yağ  sarımsak ve baharatlar eklenir güzelce karıştırılır. 20 dakika dinlendirilir. Dinlenmiş tavuklar çöp şişe dizilir. Izgaraya yerleştirilir.Fırın 175 derece alt üst ayarında turbosuz çalıştırılır. 30-35 dakika sonra tavuklarımız hazır.Afiyet olsun!
KAĞITTA ALABALIK,2 parça fileto alabalık,2 adet domates,Yarım fincan zeytinyağı,2 adet orta boy patates,2 adet orta boy soğan,1 adet limon,2 adet kırmızı biber,Baharatlar,Birkaç dal maydanoz,,Fırın tepsisi içine yağlı kağıdı yerleştirin.En alta ince kesilmiş patates  halka soğan  fileto alabalık  ince dilim limon  tuz  karabiber  maydanoz ekleyin kapatın.180 derecelik fırında 55 dakika pişirin.Afiyet olsun!"
